MeSH_ClassX;precision;recall;f1-score;support
Antipruritics;0.00;0.00;0.00;21.60
Antirheumatic Agents;0.00;0.00;0.00;21.60
Estrogen Antagonists;0.00;0.00;0.00;21.60
Excitatory Amino Acid Antagonists;0.00;0.00;0.00;21.60
Expectorants;0.00;0.00;0.00;21.60
Fungicides, Industrial;0.00;0.00;0.00;21.60
Indicators and Reagents;0.00;0.00;0.00;21.60
Miotics;0.00;0.00;0.00;21.60
Mutagens;0.00;0.00;0.00;21.60
Neurotoxins;0.00;0.00;0.00;21.60
Nootropic Agents;0.00;0.00;0.00;21.60
Phosphodiesterase Inhibitors;0.00;0.00;0.00;21.60
Phytoestrogens;0.00;0.00;0.00;21.60
Selective Estrogen Receptor Modulators;0.00;0.00;0.00;21.60
Sodium Chloride Symporter Inhibitors;0.00;0.00;0.00;21.60
Sympathomimetics;0.00;0.00;0.00;21.60
Urological Agents;0.00;0.00;0.00;21.60
Adenosine A1 Receptor Antagonists;0.00;0.00;0.00;18.00
Adjuvants, Anesthesia;0.00;0.00;0.00;18.00
Adrenergic alpha-1 Receptor Agonists;0.00;0.00;0.00;18.00
Analgesics;0.00;0.00;0.00;18.00
Androgen Antagonists;0.00;0.00;0.00;18.00
Anesthetics;0.00;0.00;0.00;18.00
Anti-Infective Agents, Local;0.00;0.00;0.00;18.00
Anticholesteremic Agents;0.00;0.00;0.00;18.00
Antimetabolites;0.00;0.00;0.00;18.00
Antithyroid Agents;0.00;0.00;0.00;18.00
Appetite Depressants;0.00;0.00;0.00;18.00
Cardiovascular Agents;0.00;0.00;0.00;18.00
Catechol O-Methyltransferase Inhibitors;0.00;0.00;0.00;18.00
Cholinergic Agonists;0.00;0.00;0.00;18.00
Cross-Linking Reagents;0.00;0.00;0.00;18.00
Estrogens, Non-Steroidal;0.00;0.00;0.00;18.00
GABA Modulators;0.00;0.00;0.00;18.00
Histamine H2 Antagonists;0.00;0.00;0.00;18.00
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.00;0.00;0.00;18.00
Immunosuppressive Agents;0.00;0.00;0.00;18.00
Leukotriene Antagonists;0.00;0.00;0.00;18.00
Muscarinic Agonists;0.00;0.00;0.00;18.00
Mydriatics;0.00;0.00;0.00;18.00
Narcotic Antagonists;0.00;0.00;0.00;18.00
Neuromuscular Agents;0.00;0.00;0.00;18.00
Ophthalmic Solutions;0.00;0.00;0.00;18.00
Potassium Channel Blockers;0.00;0.00;0.00;18.00
Progestins;0.00;0.00;0.00;18.00
Protective Agents;0.00;0.00;0.00;18.00
Radiation-Sensitizing Agents;0.00;0.00;0.00;18.00
Serotonin Uptake Inhibitors;0.00;0.00;0.00;18.00
Sodium Channel Blockers;0.00;0.00;0.00;18.00
Topoisomerase II Inhibitors;0.00;0.00;0.00;18.00
Tranquilizing Agents;0.00;0.00;0.00;18.00
Adrenergic alpha-2 Receptor Agonists;0.00;0.00;0.00;14.40
Cholagogues and Choleretics;0.00;0.00;0.00;14.40
Contraceptives, Oral, Synthetic;0.00;0.00;0.00;14.40
Epithelial Sodium Channel Blockers;0.00;0.00;0.00;14.40
Luteolytic Agents;0.00;0.00;0.00;14.40
Monoamine Oxidase Inhibitors;0.00;0.00;0.00;14.40
Phosphodiesterase 5 Inhibitors;0.00;0.00;0.00;14.40
Proton Pump Inhibitors;0.00;0.00;0.00;14.40
Purinergic P1 Receptor Antagonists;0.00;0.00;0.00;14.40
Purinergic P2Y Receptor Antagonists;0.00;0.00;0.00;14.40
Schistosomicides;0.00;0.00;0.00;14.40
Serotonin and Noradrenaline Reuptake Inhibitors;0.00;0.00;0.00;14.40
Sympatholytics;0.00;0.00;0.00;14.40
Teratogens;0.00;0.00;0.00;14.40
Vitamin B Complex;0.00;0.00;0.00;14.40
Tubulin Modulators;0.00;0.00;0.00;14.20
Anti-Dyskinesia Agents;0.00;0.00;0.00;13.80
5-alpha Reductase Inhibitors;0.00;0.00;0.00;12.00
Adrenergic Agonists;0.00;0.00;0.00;12.00
Alcohol Deterrents;0.00;0.00;0.00;12.00
Analgesics, Opioid;0.00;0.00;0.00;12.00
Anesthetics, Intravenous;0.00;0.00;0.00;12.00
Antibiotics, Antitubercular;0.00;0.00;0.00;12.00
Anticestodal Agents;0.00;0.00;0.00;12.00
Antitubercular Agents;0.00;0.00;0.00;12.00
Aromatic Amino Acid Decarboxylase Inhibitors;0.00;0.00;0.00;12.00
Central Nervous System Agents;0.00;0.00;0.00;12.00
Coloring Agents;0.00;0.00;0.00;12.00
Cytochrome P-450 CYP1A2 Inducers;0.00;0.00;0.00;12.00
Disinfectants;0.00;0.00;0.00;12.00
Filaricides;0.00;0.00;0.00;12.00
GABA-A Receptor Agonists;0.00;0.00;0.00;12.00
GABA-B Receptor Agonists;0.00;0.00;0.00;12.00
HIV Protease Inhibitors;0.00;0.00;0.00;12.00
Neuromuscular Depolarizing Agents;0.00;0.00;0.00;12.00
Nucleic Acid Synthesis Inhibitors;0.00;0.00;0.00;12.00
Trypanocidal Agents;0.00;0.00;0.00;12.00
Vasoconstrictor Agents;0.00;0.00;0.00;12.00
Acetaldehyde Dehydrogenase Inhibitors;0.00;0.00;0.00;9.00
Adrenergic beta-2 Receptor Agonists;0.00;0.00;0.00;9.00
Alkylating Agents;0.00;0.00;0.00;9.00
Contrast Media;0.00;0.00;0.00;9.00
Cytochrome P-450 CYP1A2 Inhibitors;0.00;0.00;0.00;9.00
Dipeptidyl-Peptidase IV Inhibitors;0.00;0.00;0.00;9.00
Emetics;0.00;0.00;0.00;9.00
Fatty Acid Synthesis Inhibitors;0.00;0.00;0.00;9.00
Free Radical Scavengers;0.00;0.00;0.00;9.00
Ganglionic Stimulants;0.00;0.00;0.00;9.00
Nicotinic Agonists;0.00;0.00;0.00;9.00
Proton Ionophores;0.00;0.00;0.00;9.00
Sodium Potassium Chloride Symporter Inhibitors;0.00;0.00;0.00;9.00
Contraceptive Agents, Hormonal;0.00;0.00;0.00;8.75
Chelating Agents;0.00;0.00;0.00;7.20
Cysteine Proteinase Inhibitors;0.00;0.00;0.00;7.20
Gout Suppressants;0.00;0.00;0.00;7.20
Plasticizers;0.00;0.00;0.00;7.20
Poly(ADP-ribose) Polymerase Inhibitors;0.00;0.00;0.00;7.20
Protein Synthesis Inhibitors;0.00;0.00;0.00;7.20
Siderophores;0.00;0.00;0.00;7.20
Fluorescent Dyes;0.00;0.00;0.00;6.40
