MeSH_ClassX;precision;recall;f1-score;support
Anticholesteremic Agents;0.00;0.00;0.00;14.40
Antitrichomonal Agents;0.00;0.00;0.00;14.40
Appetite Depressants;0.00;0.00;0.00;14.40
Cannabinoid Receptor Agonists;0.00;0.00;0.00;14.40
Carbonic Anhydrase Inhibitors;0.00;0.00;0.00;14.40
Cathartics;0.00;0.00;0.00;14.40
Cholagogues and Choleretics;0.00;0.00;0.00;14.40
Contraceptive Agents, Male;0.00;0.00;0.00;14.40
Contraceptives, Oral, Synthetic;0.00;0.00;0.00;14.40
Cytochrome P-450 CYP2D6 Inhibitors;0.00;0.00;0.00;14.40
Epithelial Sodium Channel Blockers;0.00;0.00;0.00;14.40
GABA-A Receptor Antagonists;0.00;0.00;0.00;14.40
Luteolytic Agents;0.00;0.00;0.00;14.40
Monoamine Oxidase Inhibitors;0.00;0.00;0.00;14.40
Mydriatics;0.00;0.00;0.00;14.40
Narcotic Antagonists;0.00;0.00;0.00;14.40
Nitric Oxide Donors;0.00;0.00;0.00;14.40
Ophthalmic Solutions;0.00;0.00;0.00;14.40
Phosphodiesterase 5 Inhibitors;0.00;0.00;0.00;14.40
Potassium Channel Blockers;0.00;0.00;0.00;14.40
Progestins;0.00;0.00;0.00;14.40
Proton Pump Inhibitors;0.00;0.00;0.00;14.40
Purinergic P1 Receptor Antagonists;0.00;0.00;0.00;14.40
Purinergic P2Y Receptor Antagonists;0.00;0.00;0.00;14.40
Schistosomicides;0.00;0.00;0.00;14.40
Serotonin and Noradrenaline Reuptake Inhibitors;0.00;0.00;0.00;14.40
Sympatholytics;0.00;0.00;0.00;14.40
Teratogens;0.00;0.00;0.00;14.40
Topoisomerase II Inhibitors;0.00;0.00;0.00;14.40
Tubulin Modulators;0.00;0.00;0.00;14.40
Vitamin B Complex;0.00;0.00;0.00;14.40
Acetaldehyde Dehydrogenase Inhibitors;0.00;0.00;0.00;9.00
Alkylating Agents;0.00;0.00;0.00;9.00
Androgen Antagonists;0.00;0.00;0.00;9.00
Antitubercular Agents;0.00;0.00;0.00;9.00
Chelating Agents;0.00;0.00;0.00;9.00
Contraceptives, Oral, Hormonal;0.00;0.00;0.00;9.00
Emetics;0.00;0.00;0.00;9.00
Fatty Acid Synthesis Inhibitors;0.00;0.00;0.00;9.00
Fluorescent Dyes;0.00;0.00;0.00;9.00
GABA Modulators;0.00;0.00;0.00;9.00
GABA-B Receptor Agonists;0.00;0.00;0.00;9.00
Gastrointestinal Agents;0.00;0.00;0.00;9.00
Gout Suppressants;0.00;0.00;0.00;9.00
Histamine H2 Antagonists;0.00;0.00;0.00;9.00
Leukotriene Antagonists;0.00;0.00;0.00;9.00
Poly(ADP-ribose) Polymerase Inhibitors;0.00;0.00;0.00;9.00
Protein Synthesis Inhibitors;0.00;0.00;0.00;9.00
Proton Ionophores;0.00;0.00;0.00;9.00
5-alpha Reductase Inhibitors;0.00;0.00;0.00;7.20
Adenosine A1 Receptor Antagonists;0.00;0.00;0.00;7.20
Adjuvants, Anesthesia;0.00;0.00;0.00;7.20
Adrenergic Agonists;0.00;0.00;0.00;7.20
Adrenergic beta-2 Receptor Agonists;0.00;0.00;0.00;7.20
Alcohol Deterrents;0.00;0.00;0.00;7.20
Analgesics, Opioid;0.00;0.00;0.00;7.20
Anesthetics;0.00;0.00;0.00;7.20
Anesthetics, Intravenous;0.00;0.00;0.00;7.20
Angiogenesis Inhibitors;0.00;0.00;0.00;7.20
Anti-Asthmatic Agents;0.00;0.00;0.00;7.20
Anti-Infective Agents, Local;0.00;0.00;0.00;7.20
Antibiotics, Antitubercular;0.00;0.00;0.00;7.20
Anticestodal Agents;0.00;0.00;0.00;7.20
Antimetabolites;0.00;0.00;0.00;7.20
Antithyroid Agents;0.00;0.00;0.00;7.20
Aromatase Inhibitors;0.00;0.00;0.00;7.20
Aromatic Amino Acid Decarboxylase Inhibitors;0.00;0.00;0.00;7.20
Bone Density Conservation Agents;0.00;0.00;0.00;7.20
Cardiovascular Agents;0.00;0.00;0.00;7.20
Catechol O-Methyltransferase Inhibitors;0.00;0.00;0.00;7.20
Central Nervous System Agents;0.00;0.00;0.00;7.20
Cholinergic Agonists;0.00;0.00;0.00;7.20
Coloring Agents;0.00;0.00;0.00;7.20
Contraceptive Agents, Hormonal;0.00;0.00;0.00;7.20
Contrast Media;0.00;0.00;0.00;7.20
Cross-Linking Reagents;0.00;0.00;0.00;7.20
Cysteine Proteinase Inhibitors;0.00;0.00;0.00;7.20
Cytochrome P-450 CYP1A2 Inducers;0.00;0.00;0.00;7.20
Cytochrome P-450 CYP1A2 Inhibitors;0.00;0.00;0.00;7.20
Cytochrome P-450 CYP3A Inhibitors;0.00;0.00;0.00;7.20
Dermatologic Agents;0.00;0.00;0.00;7.20
Dipeptidyl-Peptidase IV Inhibitors;0.00;0.00;0.00;7.20
Disinfectants;0.00;0.00;0.00;7.20
Dopamine D2 Receptor Antagonists;0.00;0.00;0.00;7.20
Estrogens, Non-Steroidal;0.00;0.00;0.00;7.20
Filaricides;0.00;0.00;0.00;7.20
Free Radical Scavengers;0.00;0.00;0.00;7.20
GABA-A Receptor Agonists;0.00;0.00;0.00;7.20
Ganglionic Stimulants;0.00;0.00;0.00;7.20
HIV Protease Inhibitors;0.00;0.00;0.00;7.20
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.00;0.00;0.00;7.20
Hypnotics and Sedatives;0.00;0.00;0.00;7.20
Immunosuppressive Agents;0.00;0.00;0.00;7.20
Leprostatic Agents;0.00;0.00;0.00;7.20
Mineralocorticoid Receptor Antagonists;0.00;0.00;0.00;7.20
Muscarinic Agonists;0.00;0.00;0.00;7.20
Neuromuscular Agents;0.00;0.00;0.00;7.20
Neuromuscular Depolarizing Agents;0.00;0.00;0.00;7.20
Neurosteroids;0.00;0.00;0.00;7.20
Nicotinic Agonists;0.00;0.00;0.00;7.20
Nucleic Acid Synthesis Inhibitors;0.00;0.00;0.00;7.20
Photosensitizing Agents;0.00;0.00;0.00;7.20
Plasticizers;0.00;0.00;0.00;7.20
Protective Agents;0.00;0.00;0.00;7.20
Radiation-Protective Agents;0.00;0.00;0.00;7.20
Radiation-Sensitizing Agents;0.00;0.00;0.00;7.20
Serotonin 5-HT1 Receptor Antagonists;0.00;0.00;0.00;7.20
Serotonin Uptake Inhibitors;0.00;0.00;0.00;7.20
Siderophores;0.00;0.00;0.00;7.20
Sodium Channel Blockers;0.00;0.00;0.00;7.20
Sodium Potassium Chloride Symporter Inhibitors;0.00;0.00;0.00;7.20
Tocolytic Agents;0.00;0.00;0.00;7.20
Tranquilizing Agents;0.00;0.00;0.00;7.20
Trypanocidal Agents;0.00;0.00;0.00;7.20
Vasoconstrictor Agents;0.00;0.00;0.00;7.20
